width,depth,sleep_before,app_time,real_time,user_time,system_time
1,1,6,0.744516,16.65,1.12,1.17
1,51,9,1.038541,16.88,1.23,1.31
1,101,4,1.083808,16.99,1.31,1.32
1,151,10,1.096417,16.96,1.28,1.35
2,1,1,0.795052,19.16,1.54,1.41
2,51,8,1.098531,17.01,1.24,1.39
2,101,7,1.161324,17.16,1.26,1.43
2,151,3,1.265886,17.43,1.31,1.5
3,1,2,1.011667,18.15,1.45,1.41
3,51,6,1.110886,17.23,1.33,1.32
3,101,10,1.368941,17.38,1.24,1.66
3,151,6,1.454929,17.57,1.39,1.6
4,1,4,0.987948,17.05,1.31,1.22
4,51,1,1.378843,19.43,1.72,1.78
4,101,2,1.766332,19.14,1.67,1.94
4,151,10,2.190719,18.33,1.54,2.19
5,1,10,1.069769,17.04,1.34,1.27
5,51,9,2.226241,18.08,1.61,2.11
5,101,8,3.534396,19.45,2.1,2.98
5,151,1,4.591478,22.7,2.69,4
6,1,4,1.808594,17.69,1.58,1.73
6,51,7,5.777195,21.79,2.96,4.36
6,101,4,9.800599,25.77,4.27,7.03
6,151,8,13.673894,29.91,5.71,9.54
7,1,3,4.82259,20.86,2.59,3.77
7,51,9,19.621288,35.61,7.87,13.3
7,101,9,35.414703,51.37,13.71,23.24
7,151,9,50.818192,66.86,19.27,33.08
8,1,2,17.799444,34.79,7.64,12.01
8,51,5,76.507698,92.25,29,49
8,101,6,138.627029,154.59,50.76,89.4
8,151,10,198.74498,214.69,72.81,127.47
9,1,4,73.62236,89.53,27.7,47.47
9,51,6,312.988708,328.85,116.14,198.38
9,101,10,552.449341,568.06,202.38,351.57
9,151,7,810.87915,826.14,299.29,513.1
10,1,5,358.084351,373.84,131.82,227.8
10,51,3,1276.794678,1291.72,466.35,811.98
10,101,4,2215.33374,2229.69,813.11,1403.77
10,151,9,3192.200684,3205.7,1169.99,2023.71